suhu,kelembaban,kelembaban_tanah,intensitas_cahaya,label
28.6,59.46,32.46,40.46,1
23.48,84.86,39.47,38.37,1
31.84,48.4,60.88,53.84,0
28.48,69.96,59.56,61.39,0
25.37,88.07,54.63,41.29,0
32.13,50.77,62.83,12.27,0
22.3,51.17,58.39,31.85,0
21.06,50.62,16.35,39.75,1
20.21,71.65,53.29,99.03,0
17.27,70.35,36.95,55.11,1
24.06,59.85,69.86,80.39,0
34.52,54.47,29.28,76.7,1
16.64,78.22,45.69,29.18,0
23.78,62.35,28.27,45.89,1
15.09,72.66,71.32,61.88,0
33.68,62.03,55.06,79.24,0
22.09,38.8,24.6,72.01,1
16.43,41.97,41.91,84.04,1
17.24,41.57,30.9,84.6,1
16.04,39.72,23.54,33.61,1
33.86,59.25,16.66,87.76,1
23.58,52.03,57.37,17.74,0
30.14,86.41,48.68,84.99,0
19.85,37.23,67.68,39.37,0
23.4,38.41,26.47,97.28,1
22.68,87.39,35.95,48.58,1
22.73,73.05,68.73,12.06,0
33.87,71.25,66.73,31.43,0
31.13,37.73,71.24,87.67,1
19.82,35.81,68.89,31.32,0
32.96,76.33,41.85,13.02,0
23.58,80.79,61.83,88.91,0
21.99,65.65,67.42,76.54,0
27.73,77.27,23.43,45.72,1
25.67,88.37,69.28,78.5,0
24.89,74.41,31.64,71.79,1
18.36,83.03,76.83,89.74,0
27.73,84.08,78.22,27.77,0
19.82,35.56,38.85,95.67,1
23.76,70.78,22.99,74.01,1
25.38,37.59,70.84,63.93,0
23.29,39.16,33.73,33.75,1
24.36,30.81,23.87,39.3,1
29.55,45.11,21.6,15.78,1
33.33,87.79,54.0,77.14,0
22.97,52.01,77.93,60.79,0
32.2,37.53,35.17,57.37,1
32.22,80.47,63.72,93.62,0
20.77,49.04,72.67,38.75,0
27.88,77.43,18.22,23.58,1
23.59,89.92,75.25,13.66,0
32.28,81.69,22.71,18.43,1
20.93,83.48,53.14,62.44,0
16.06,76.28,59.18,89.76,0
26.39,87.4,69.56,23.79,0
34.26,66.1,15.2,97.51,1
29.24,87.59,51.82,28.58,0
16.09,87.58,40.16,45.49,1
32.3,39.93,65.29,35.64,0
23.28,78.55,35.49,71.66,1
24.72,83.38,46.28,60.79,0
23.65,55.29,17.81,40.41,1
24.84,68.18,49.08,35.81,0
17.35,83.72,69.28,56.62,0
17.22,55.25,20.9,69.06,1
24.75,36.73,57.59,26.54,0
21.08,65.0,45.04,70.69,0
19.12,40.71,63.59,63.87,0
17.7,40.77,46.11,72.25,1
27.56,88.33,38.25,70.27,1
15.64,36.42,16.18,97.5,1
23.52,67.53,66.32,26.7,0
18.29,39.51,60.75,96.45,0
26.52,80.24,18.79,11.06,1
29.73,65.74,51.12,36.28,0
28.6,78.92,46.53,73.85,0
33.3,54.88,45.96,54.05,0
20.48,41.94,37.19,30.99,1
32.06,69.88,23.86,36.58,1
29.81,77.54,67.23,86.17,0
17.5,42.46,54.18,18.79,0
15.6,31.42,72.65,41.67,0
16.0,55.6,54.98,20.72,0
16.12,82.68,32.56,23.81,1
33.14,55.88,44.82,86.03,0
34.08,79.79,18.14,19.14,1
20.44,56.64,47.72,75.57,0
31.72,56.66,41.87,79.22,0
16.87,52.0,64.32,42.38,0
19.52,78.46,42.17,46.7,0
16.04,38.32,15.46,83.04,1
18.43,34.09,63.91,69.55,0
29.17,69.8,48.84,36.42,0
29.88,84.97,15.71,35.13,1
19.3,63.05,66.52,68.59,0
19.17,48.33,17.03,40.6,1
20.94,35.23,50.39,57.22,0
27.34,44.09,64.88,75.26,0
27.16,51.07,18.34,68.54,1
35.05,78.45,79.32,61.0,0
22.18,47.29,66.03,74.08,0
21.15,65.15,68.81,42.1,0
16.11,83.34,46.04,50.17,0
22.84,46.25,47.41,48.58,0
31.11,38.87,23.63,73.62,1
19.12,58.85,63.62,94.87,0
17.29,64.8,17.42,23.78,1
31.22,38.92,53.04,14.7,0
24.69,37.41,37.73,88.74,1
30.89,58.52,61.76,64.46,0
24.15,81.89,35.87,81.88,1
25.97,87.85,73.06,76.3,0
30.98,72.14,51.59,21.22,0
16.45,63.83,27.75,52.5,1
15.77,77.15,31.25,73.61,1
22.97,32.61,71.39,11.91,0
19.79,36.63,21.05,24.94,1
22.67,39.71,54.83,39.1,0
22.88,49.16,39.66,84.58,1
24.42,75.11,39.94,20.34,0
23.61,44.2,72.35,34.28,0
30.84,47.98,41.91,17.43,0
35.12,76.87,49.44,48.1,0
32.02,47.34,78.28,10.39,0
22.61,50.63,56.33,62.73,0
21.07,53.5,22.93,22.68,1
33.91,49.35,59.29,40.58,0
34.18,50.69,45.03,63.46,0
24.93,84.29,58.99,47.22,0
31.08,69.12,20.21,12.64,1
31.52,79.85,37.78,25.91,1
33.51,57.1,29.26,11.37,1
27.26,48.05,61.44,31.49,0
29.04,42.92,27.81,83.9,1
26.1,69.16,51.4,70.98,0
20.47,63.89,30.0,57.57,1
28.81,62.41,31.58,60.85,1
15.81,86.51,43.08,99.42,0
30.1,82.98,29.1,34.71,1
17.11,64.23,16.22,76.12,1
18.27,48.96,55.78,18.83,0
21.53,44.58,21.84,31.75,1
34.0,76.62,54.86,78.33,0
15.29,49.22,70.04,15.65,0
27.32,33.83,58.64,60.59,0
19.55,66.27,58.26,11.07,0
21.62,85.95,65.49,50.96,0
16.49,77.12,27.51,61.81,1
23.7,44.52,67.27,15.7,0
21.03,82.96,65.28,22.77,0
27.06,71.06,18.65,55.34,1
19.18,84.7,66.52,40.84,0
21.54,64.37,77.55,65.74,0
15.57,43.29,14.98,30.31,1
33.74,50.38,62.97,28.05,0
15.69,37.18,33.43,27.03,1
18.8,40.5,72.23,74.22,0
31.74,84.93,15.98,71.41,1
21.54,44.89,68.11,69.86,0
32.86,33.61,24.27,93.05,1
27.11,88.31,30.93,14.45,1
21.91,33.66,67.1,88.27,0
16.64,58.49,58.27,15.85,0
25.17,58.07,35.91,43.42,1
22.74,84.97,53.32,13.19,0
20.99,83.37,51.77,93.78,0
24.01,51.02,52.93,51.78,0
30.82,49.17,39.71,25.74,1
32.28,60.37,56.41,80.27,0
19.32,41.98,36.18,37.45,1
35.37,89.41,63.7,76.91,0
30.82,54.2,41.39,62.46,0
17.96,53.87,30.04,77.68,1
29.14,57.95,66.67,37.89,0
23.63,63.95,38.87,62.29,1
31.59,50.67,42.28,71.54,1
15.92,76.95,75.07,23.94,0
27.05,82.05,78.4,27.99,0
25.99,57.15,72.69,18.58,0
24.56,40.93,19.68,96.24,1
16.06,60.77,25.78,87.41,1
24.19,33.83,77.01,88.12,0
24.5,66.41,75.82,62.38,0
17.88,34.25,41.33,82.64,1
26.48,74.44,33.93,89.09,1
27.66,78.83,26.34,32.83,1
18.41,64.49,40.35,95.24,0
20.56,84.97,60.87,75.07,0
34.73,34.54,21.59,78.99,1
24.12,34.64,60.5,77.37,0
15.46,36.87,74.18,39.49,0
20.19,86.67,23.63,83.44,1
21.15,62.26,40.06,16.84,0
19.53,32.4,59.19,29.6,0
28.88,83.33,40.66,38.02,0
33.5,52.97,30.34,17.92,1
28.71,42.9,72.02,81.64,1
16.86,49.67,51.97,26.68,0
19.09,51.28,26.24,45.76,1
31.02,68.8,39.08,16.54,1
16.71,62.63,79.48,87.02,0
28.76,70.81,78.59,72.25,0
32.12,58.81,36.92,64.5,1
27.15,89.11,30.36,65.73,1
27.05,33.3,38.88,37.12,1
26.74,86.9,63.31,39.6,0
34.9,68.71,33.49,12.17,1
33.35,70.01,31.02,71.68,1
23.54,30.5,71.18,16.0,0
16.57,65.14,69.25,93.67,0
29.22,44.64,26.6,32.18,1
30.29,34.74,78.22,46.08,0
30.09,79.53,66.84,12.2,0
26.87,39.12,62.11,33.26,0
16.13,37.71,45.5,24.15,1
24.7,85.53,76.26,97.43,0
23.24,32.02,74.84,44.39,0
33.45,73.53,48.28,54.4,0
29.84,44.72,17.44,83.33,1
20.33,57.78,59.61,32.4,0
30.51,69.06,74.62,45.48,0
23.93,79.94,31.32,37.01,1
23.37,82.86,62.14,17.64,0
30.46,86.12,40.37,37.3,0
28.6,61.37,57.75,75.67,0
18.33,86.47,43.98,83.55,0
20.31,84.5,41.24,66.21,0
22.53,46.78,36.84,62.27,1
29.63,30.46,52.37,98.99,1
34.57,75.61,75.46,52.98,0
34.87,78.57,76.02,69.69,0
17.39,57.05,60.49,75.64,0
20.71,72.11,67.95,43.07,0
18.28,89.03,76.79,83.44,0
21.62,56.24,54.37,46.45,0
33.85,89.01,70.41,91.11,0
25.03,64.61,70.49,55.59,0
25.59,82.65,25.66,49.88,1
30.28,69.24,21.24,49.54,1
30.72,42.85,31.38,52.9,1
29.94,35.69,60.07,88.62,1
22.68,73.11,63.2,44.66,0
19.71,37.38,20.94,17.64,1
21.86,80.76,77.05,62.27,0
34.89,49.2,38.83,70.86,1
23.35,62.63,44.94,22.98,0
27.23,38.85,58.06,82.61,0
17.8,89.81,61.13,52.92,0
34.86,50.3,69.01,28.51,0
32.79,40.9,47.04,45.75,1
26.22,50.14,59.09,98.91,0
28.56,41.96,70.74,45.74,0
31.63,72.77,44.53,24.38,0
19.59,74.98,62.97,11.31,0
18.38,86.62,43.24,85.43,0
16.52,88.94,57.16,62.94,0
19.97,59.19,59.91,96.21,0
27.95,76.82,71.09,68.15,0
16.18,59.43,58.54,55.65,0
30.05,77.59,26.84,53.18,1
16.58,84.05,66.75,26.68,0
31.46,59.6,48.35,62.88,0
33.99,83.91,27.04,63.54,1
17.93,41.91,25.96,60.63,1
21.77,62.47,42.94,95.09,0
30.85,69.57,44.41,61.79,0
25.5,42.28,21.24,84.11,1
33.78,66.25,28.62,42.07,1
22.39,84.14,41.2,17.53,0
16.1,73.83,79.86,73.03,0
27.03,54.71,25.08,98.9,1
17.63,36.46,50.48,15.71,0
32.85,43.42,15.25,44.37,1
18.5,73.73,35.13,84.29,1
26.48,66.34,73.12,25.61,0
34.34,61.53,53.16,86.48,0
17.66,37.81,40.1,76.4,1
20.47,66.82,60.94,26.26,0
23.36,86.86,72.74,83.17,0
21.7,35.07,19.72,75.94,1
26.01,59.58,72.06,96.57,0
25.21,89.99,73.14,73.06,0
29.52,72.61,64.05,32.36,0
25.74,66.93,54.5,96.54,0
16.43,80.24,48.26,95.34,0
32.9,44.79,49.84,78.69,1
30.19,64.27,29.46,36.97,1
24.38,66.89,46.59,41.52,0
32.8,40.75,38.06,18.77,1
17.2,59.14,24.92,69.03,1
18.98,78.35,21.92,49.41,1
21.72,82.13,28.14,27.46,1
17.97,41.86,46.2,70.17,1
29.29,49.92,65.03,89.25,1
17.19,36.74,16.11,24.18,1
21.63,88.57,63.19,48.84,0
18.41,61.17,30.96,79.33,1
18.97,72.07,68.14,73.19,0
28.18,44.19,23.53,13.57,1
16.95,32.79,41.31,37.56,1
24.98,68.48,34.7,34.05,1
15.66,32.43,18.8,76.63,1
18.29,86.41,38.68,37.75,1
21.65,74.35,38.64,79.8,1
22.3,83.32,23.89,76.99,1
18.86,72.12,75.38,17.23,0
19.09,73.0,18.22,27.61,1
33.35,88.92,72.74,50.28,0
33.82,59.86,15.97,63.99,1
31.07,72.0,63.62,45.44,0
29.79,52.73,65.32,45.79,0
29.14,82.77,66.2,50.71,0
28.9,62.67,25.77,14.49,1
33.29,46.55,66.42,67.32,0
22.15,66.36,39.21,17.4,1
27.55,49.2,19.19,83.11,1
34.71,61.85,78.87,79.92,0
28.39,81.92,56.0,59.66,0
31.38,75.04,25.52,30.45,1
18.62,41.33,71.2,26.52,0
17.83,40.24,40.37,65.11,1
34.72,36.12,49.12,74.93,1
31.28,75.39,56.53,14.06,0
15.51,87.82,77.45,19.27,0
24.44,63.43,43.44,24.88,0
27.35,37.4,68.96,18.9,0
33.4,31.17,43.14,23.15,1
32.29,78.97,22.76,25.12,1
27.71,37.21,74.69,92.82,0
26.79,71.08,24.61,69.66,1
33.54,69.28,75.14,83.4,0
18.19,69.64,35.8,44.72,1
27.05,87.26,32.99,17.96,1
23.31,71.91,42.06,81.16,0
23.69,59.71,49.78,57.84,0
26.29,71.11,64.13,72.8,0
26.02,87.81,75.23,15.68,0
21.31,38.39,70.79,97.02,0
17.28,88.19,60.63,44.17,0
27.79,34.29,69.01,87.92,1
26.63,79.07,24.93,26.22,1
23.02,49.9,66.17,72.1,0
30.2,60.57,15.76,85.27,1
33.04,60.59,61.13,48.61,0
17.19,42.96,55.3,30.04,0
31.66,57.77,35.66,67.92,1
19.24,36.03,19.84,64.33,1
16.36,65.97,63.71,37.59,0
34.08,63.7,52.09,80.63,0
22.38,47.17,41.35,27.74,0
17.26,54.09,63.28,18.97,0
26.69,81.51,33.45,23.86,1
32.35,78.91,57.54,79.42,0
27.87,85.67,37.55,80.61,1
32.92,76.03,39.85,28.92,0
25.0,78.75,24.55,87.93,1
16.66,48.69,75.3,24.21,0
30.82,45.63,45.4,32.67,0
26.73,32.79,70.46,45.95,0
31.9,86.89,39.66,71.58,1
27.73,68.14,63.52,31.82,0
18.13,53.55,19.71,45.08,1
33.42,58.31,20.85,75.56,1
21.78,49.01,79.55,53.3,0
17.65,58.3,56.49,39.25,0
22.6,56.26,45.96,14.64,0
27.51,35.23,19.87,46.48,1
28.79,45.41,69.24,17.98,0
21.65,55.34,45.76,72.19,0
22.36,30.76,66.02,63.57,0
34.54,85.99,63.24,75.95,0
32.31,36.32,78.0,46.91,0
17.23,57.44,77.93,18.82,0
18.79,52.73,37.14,96.03,1
15.52,83.95,47.59,88.01,0
21.66,62.22,48.93,78.53,0
27.09,62.5,39.58,86.18,1
33.11,81.57,79.81,82.45,0
24.87,75.18,74.8,18.76,0
23.11,43.34,44.18,44.76,1
33.52,54.28,68.2,73.07,1
20.97,82.69,31.93,85.86,1
23.61,31.25,25.07,43.53,1
33.88,89.71,31.05,97.92,1
26.23,38.14,56.38,97.9,0
17.28,78.41,47.9,66.59,0
26.0,87.05,28.34,17.92,1
29.39,84.87,20.07,44.55,1
22.2,44.13,73.64,37.01,0
30.54,69.69,32.95,93.75,1
24.58,65.35,21.95,35.28,1
31.34,53.91,46.49,12.16,0
22.18,48.33,73.72,82.84,0
27.12,32.0,78.48,99.09,0
29.36,85.61,27.19,13.03,1
17.52,43.46,36.06,29.76,1
34.31,50.91,50.86,36.39,0
18.64,40.27,59.74,90.12,0
21.61,77.57,77.24,54.22,0
27.33,66.57,42.47,60.71,0
16.0,60.83,53.61,36.26,0
15.46,40.37,36.13,81.05,1
30.42,37.3,36.0,11.38,1
25.84,52.91,54.23,57.84,0
32.45,34.31,72.84,47.65,0
30.68,59.59,79.19,47.79,0
27.02,47.51,56.62,87.39,0
23.2,83.32,74.27,13.82,0
29.52,46.29,64.1,45.92,0
28.55,57.15,70.28,96.57,0
16.14,30.56,21.5,38.75,1
33.48,52.5,73.45,99.35,1
17.33,87.14,19.65,39.31,1
18.01,58.03,23.67,87.48,1
24.1,37.82,49.12,62.24,1
19.58,46.2,34.41,17.69,1
18.63,34.4,78.48,15.11,0
17.45,42.78,53.2,57.44,0
17.94,60.75,74.79,29.7,0
30.41,41.65,33.21,24.42,1
32.21,74.23,30.8,90.42,1
19.96,85.62,20.47,48.39,1
20.37,35.66,57.06,75.97,0
25.74,60.08,42.9,70.86,0
15.44,46.09,19.5,18.98,1
16.73,74.32,72.02,33.93,0
27.13,74.01,20.93,55.7,1
20.17,48.55,19.03,26.84,1
21.86,41.0,32.24,17.4,1
26.98,59.37,31.58,20.18,1
25.31,40.27,24.48,18.69,1
34.31,45.29,46.83,43.18,0
30.1,81.6,73.87,63.14,0
34.57,81.12,58.1,23.22,0
22.33,75.13,27.98,96.11,1
32.75,57.14,77.68,57.31,0
23.37,89.48,35.22,13.63,1
24.57,88.09,66.69,35.92,0
17.81,87.79,55.85,69.3,0
15.62,46.91,53.71,14.29,0
20.19,51.28,33.07,86.9,1
19.99,89.47,27.76,62.52,1
30.83,67.98,42.27,96.83,0
26.46,70.43,35.6,62.09,1
21.07,35.01,52.21,66.49,0
17.98,56.48,35.29,94.06,1
23.13,31.92,51.44,95.98,0
19.92,60.53,23.53,58.79,1
23.02,29.91,67.04,89.07,0
27.98,49.84,20.89,36.39,1
28.13,74.6,18.44,28.18,1
29.0,80.64,34.54,38.17,1
16.89,29.71,54.22,21.23,0
24.36,33.66,23.26,46.46,1
31.37,71.02,70.54,65.86,0
28.13,40.04,63.38,59.66,0
24.47,69.98,40.35,72.32,0
24.29,64.25,15.84,36.79,1
32.92,88.25,45.27,75.43,0
24.63,51.09,60.76,45.38,0
22.05,72.71,66.03,35.47,0
27.98,53.02,45.94,69.33,0
17.71,49.35,76.63,41.68,0
18.16,36.05,22.39,94.39,1
30.05,44.45,73.41,25.22,0
27.5,36.97,70.38,16.98,0
21.5,71.62,39.3,98.94,1
21.03,41.76,25.62,83.37,1
28.23,42.12,67.7,89.97,1
18.7,74.13,74.28,67.77,0
21.61,67.04,51.19,21.98,0
16.29,77.04,34.22,20.34,1
33.38,85.71,31.81,72.87,1
26.41,80.75,75.77,54.62,0
24.26,84.8,31.93,12.96,1
17.95,63.2,62.44,92.75,0
33.5,84.74,61.15,79.0,0
27.02,34.38,50.38,95.2,0
28.48,55.41,34.28,86.76,1
31.47,62.1,70.47,71.64,0
28.85,56.18,43.23,22.27,0
18.96,55.92,19.01,31.27,1
31.08,64.4,78.99,10.97,0
18.36,32.42,37.83,68.95,1
17.44,34.84,31.12,59.34,1
19.2,72.94,76.22,79.99,0
29.16,60.33,18.29,90.74,1
17.45,88.43,30.3,76.41,1
34.17,71.9,56.78,50.62,0
22.79,79.63,20.85,35.0,1
15.44,42.15,27.03,48.65,1
15.93,66.83,73.15,93.3,0
22.05,79.99,42.77,48.09,0
23.2,73.24,59.14,87.33,0
25.8,39.38,39.3,77.41,1
33.86,35.03,31.36,58.71,1
27.81,77.01,67.49,64.48,0
19.04,57.74,43.94,51.7,0
15.99,85.89,32.65,65.2,1
20.17,82.26,22.82,66.34,1
15.31,71.28,70.5,62.4,0
20.03,45.67,59.2,87.02,0
16.38,56.5,48.54,31.24,0
28.13,82.39,24.21,39.54,1
23.96,88.84,55.84,23.95,0
27.19,78.56,48.05,79.99,0
32.11,31.53,61.78,44.73,0
19.41,60.44,52.69,59.37,0
15.8,58.68,48.88,49.44,0
20.11,75.67,38.27,51.26,1
33.02,51.87,37.98,55.46,1
23.41,64.44,68.65,21.36,0
17.34,45.54,34.13,38.32,1
27.17,75.98,73.26,88.93,0
33.53,74.76,23.71,12.7,1
32.24,85.17,73.99,41.51,0
33.44,83.45,53.68,65.35,0
23.77,54.51,43.87,84.82,0
30.71,85.07,75.75,17.69,0
23.03,55.91,47.86,62.77,0
26.21,83.66,52.51,85.64,0
17.57,78.86,62.83,99.14,0
16.93,47.47,22.49,35.06,1
34.42,74.91,75.43,70.23,0
15.85,83.66,77.72,58.11,0
19.08,86.84,51.92,75.5,0
28.89,81.05,44.38,49.14,0
17.56,51.05,20.15,81.17,1
27.43,61.2,65.44,74.05,0
31.26,48.59,69.83,69.01,0
17.5,52.22,76.62,70.83,0
21.01,42.16,71.43,95.14,0
25.92,42.39,26.66,47.77,1
24.42,69.21,26.69,37.31,1
22.46,51.81,46.52,18.48,0
34.35,49.34,57.67,20.62,0
29.09,76.33,46.18,82.22,0
25.42,83.15,65.7,15.36,0
24.07,53.76,74.62,33.96,0
23.32,64.8,25.94,28.39,1
26.69,31.4,62.36,82.48,0
25.76,68.95,48.75,42.95,0
19.3,78.31,74.63,39.37,0
15.39,86.08,21.47,45.54,1
30.73,44.99,32.34,21.37,1
20.66,35.01,19.32,75.32,1
26.79,39.22,62.64,81.16,0
25.01,31.56,32.78,28.03,1
17.27,88.05,51.21,53.02,0
24.55,53.34,39.7,59.09,1
19.47,52.5,52.08,67.45,0
18.03,82.01,46.81,32.72,0
26.14,43.78,64.53,32.5,0
26.56,54.69,15.41,71.95,1
28.4,49.8,60.66,55.9,0
29.23,52.21,64.14,25.06,0
15.77,55.7,26.14,82.18,1
21.11,56.15,34.24,92.85,1
28.12,38.71,49.03,28.15,1
24.61,85.81,75.28,75.14,0
15.67,54.79,24.46,16.23,1
25.41,49.71,19.03,51.91,1
27.94,85.76,32.65,83.99,1
22.64,44.94,50.4,69.12,0
20.52,35.97,67.07,62.95,0
20.52,78.11,71.92,70.65,0
17.2,78.02,24.92,24.39,1
25.23,56.0,58.27,39.32,0
22.74,58.85,35.61,57.43,1
33.97,80.01,61.53,85.77,0
26.02,56.09,37.8,12.51,1
19.16,63.27,80.11,94.06,0
23.44,61.43,15.12,38.36,1
26.68,32.21,32.62,53.21,1
34.92,79.53,71.1,93.46,0
32.03,75.43,67.14,13.67,0
31.97,38.04,41.83,85.72,1
25.4,89.34,27.97,65.08,1
29.2,84.78,53.05,95.32,0
28.62,33.48,68.57,54.91,0
19.31,59.83,26.02,77.07,1
21.79,63.71,59.85,61.19,0
19.0,65.19,77.65,78.59,0
29.89,44.5,69.68,67.44,0
15.88,72.08,26.26,23.02,1
18.53,47.77,60.19,33.95,0
24.33,67.75,69.1,13.02,0
28.75,51.01,67.71,81.99,1
30.85,34.98,64.89,33.4,0
18.61,38.48,52.68,43.71,0
27.42,82.31,15.11,48.34,1
21.43,57.97,27.18,11.89,1
22.82,80.22,31.22,44.06,1
32.47,76.06,74.01,55.53,0
16.04,61.18,74.65,90.27,0
30.51,37.6,36.92,96.69,1
24.56,39.72,14.64,23.01,1
19.41,35.28,30.88,71.47,1
24.58,71.54,60.63,92.42,0
17.19,38.11,64.92,22.25,0
23.73,53.72,19.38,54.06,1
30.47,52.4,37.5,84.24,1
17.6,41.43,28.66,48.97,1
22.66,78.94,17.45,96.6,1
24.66,35.26,59.11,18.95,0
26.95,52.94,44.83,53.56,0
20.12,67.92,54.21,82.05,0
25.73,51.78,66.23,97.92,0
22.06,86.28,53.31,27.33,0
21.02,37.48,46.58,42.88,1
20.78,78.67,50.1,26.22,0
26.66,51.02,16.97,76.71,1
27.85,55.61,33.18,97.8,1
29.53,61.06,45.27,17.03,0
33.07,53.16,78.64,16.61,0
34.34,45.34,57.05,89.15,1
19.96,48.49,48.29,86.85,0
29.99,56.39,63.65,80.46,0
28.48,45.99,41.23,11.78,0
34.34,48.65,29.17,11.84,1
31.43,65.7,55.77,39.43,0
21.64,56.86,45.2,76.59,0
15.71,80.98,77.61,67.31,0
21.91,47.63,35.16,70.56,1
23.69,89.74,16.26,98.02,1
17.35,66.92,70.3,18.41,0
18.09,76.9,62.66,46.2,0
21.85,52.05,21.68,89.66,1
23.17,81.49,47.59,51.43,0
20.44,62.37,36.6,51.92,1
34.12,54.74,56.87,65.8,0
29.71,86.7,35.72,32.36,1
30.22,83.36,57.18,59.55,0
32.32,40.31,76.31,92.63,1
24.52,45.18,54.21,98.69,0
27.04,50.34,74.32,23.87,0
28.11,81.94,79.47,87.81,0
16.94,76.58,57.29,57.87,0
23.18,79.35,65.12,42.63,0
17.73,38.37,31.73,84.18,1
21.39,84.92,66.29,29.31,0
24.78,44.97,32.1,36.64,1
26.61,75.55,24.48,35.75,1
33.84,39.29,56.45,52.97,0
17.46,47.25,39.78,67.39,1
20.09,73.39,63.13,99.49,0
18.48,81.14,35.1,43.72,1
18.35,83.64,15.65,95.0,1
30.52,77.77,57.66,42.43,0
31.62,77.15,48.97,30.15,0
21.83,34.4,51.43,57.68,0
26.52,45.03,31.39,76.74,1
23.71,32.1,54.92,59.24,0
33.15,61.43,18.92,30.52,1
30.24,48.71,55.9,27.72,0
19.66,58.85,52.39,62.63,0
18.4,78.6,55.04,51.06,0
18.33,60.8,48.17,95.4,0
26.67,48.52,43.42,98.42,0
24.21,40.21,19.2,49.02,1
25.49,40.96,65.44,78.69,0
16.71,47.66,54.89,61.68,0
32.53,66.76,25.5,96.38,1
20.19,85.62,45.51,86.92,0
29.82,57.24,42.55,45.89,0
21.59,78.53,78.08,79.25,0
20.72,52.47,35.62,80.9,1
24.88,81.36,22.17,31.85,1
34.83,32.75,57.64,72.01,1
22.37,36.51,56.19,34.48,0
29.65,49.12,65.19,46.94,0
16.52,44.74,52.02,78.17,0
30.26,34.43,66.49,73.97,1
32.52,41.23,45.65,51.23,1
29.85,31.37,22.3,47.0,1
32.79,60.74,16.35,49.64,1
24.91,64.96,56.51,76.13,0
31.08,81.27,20.95,93.29,1
23.86,46.76,43.91,89.4,0
21.73,61.18,60.09,83.33,0
31.32,30.86,29.81,48.27,1
24.01,70.3,65.41,61.35,0
30.56,42.71,27.08,12.4,1
33.8,49.45,35.42,30.48,1
34.12,42.97,38.43,22.23,1
23.83,74.54,62.8,44.12,0
31.51,35.19,26.64,91.82,1
24.47,66.78,64.03,38.38,0
20.41,36.62,45.06,10.51,1
33.72,80.69,42.8,86.45,0
22.94,58.1,76.48,34.47,0
26.55,37.24,25.43,72.92,1
27.89,52.74,42.43,24.42,0
30.87,40.89,71.95,19.97,0
33.01,46.3,35.4,80.87,1
33.3,32.45,39.02,64.26,1
17.33,89.65,22.34,52.45,1
27.47,67.84,35.4,52.12,1
27.62,72.68,45.78,77.01,0
33.75,43.92,19.95,18.26,1
18.86,69.58,36.44,98.04,1
30.28,38.34,41.97,69.91,1
22.34,32.42,28.16,26.06,1
21.58,64.64,46.53,40.9,0
19.08,67.55,50.91,20.44,0
32.9,45.48,67.62,53.7,0
25.85,33.41,38.48,67.76,1
17.03,62.96,34.71,88.18,1
32.84,59.98,41.18,94.43,0
14.99,74.36,38.03,64.38,1
22.13,43.43,76.23,57.91,0
27.81,80.7,64.18,23.46,0
34.65,87.33,34.24,90.72,1
33.57,30.44,31.45,60.48,1
16.45,54.93,24.8,83.76,1
31.06,68.34,40.88,27.18,0
32.5,37.35,63.25,95.25,1
15.34,37.01,35.39,19.03,1
17.98,74.99,44.38,16.11,0
34.73,52.98,73.3,20.35,0
31.39,75.61,29.7,19.14,1
32.31,70.03,69.75,96.47,0
29.4,46.89,31.84,55.29,1
17.11,78.53,30.38,54.83,1
29.19,64.07,69.31,43.93,0
26.42,77.88,76.88,61.98,0
32.92,55.6,40.95,77.06,0
25.73,86.58,67.38,66.6,0
15.78,86.99,21.77,92.61,1
31.31,50.19,78.24,32.87,0
20.31,77.44,28.51,79.22,1
31.43,80.92,71.02,39.77,0
31.39,36.08,61.61,67.43,0
20.69,72.7,38.25,82.35,1
17.29,65.17,74.11,72.92,0
29.29,41.82,20.65,64.03,1
26.11,54.12,75.27,19.12,0
25.94,34.98,80.13,49.6,0
24.62,80.14,78.63,31.59,0
19.79,31.3,54.86,85.33,0
32.44,65.1,55.98,90.46,0
31.51,45.63,38.92,91.46,1
17.73,81.23,79.59,32.5,0
25.25,58.76,35.59,82.8,1
25.63,89.22,45.24,61.62,0
33.62,40.13,51.76,59.96,0
29.09,34.15,61.94,61.27,0
29.04,86.6,79.28,29.2,0
26.44,82.74,76.32,22.49,0
27.67,72.84,38.32,21.0,1
29.33,44.61,54.25,78.29,1
17.84,35.23,76.41,61.86,0
17.98,50.98,21.23,41.65,1
22.87,43.85,79.09,66.49,0
26.79,89.38,18.87,43.09,1
23.05,32.11,73.52,60.82,0
19.05,43.2,37.52,88.88,1
29.45,82.31,26.08,23.43,1
33.95,86.29,67.15,38.07,0
33.42,60.3,54.66,99.81,0
22.62,56.74,22.3,60.22,1
19.19,54.57,38.7,92.7,1
31.6,35.95,48.86,69.75,1
22.83,62.48,28.5,38.75,1
23.76,35.05,16.36,19.88,1
29.96,76.7,60.24,57.57,0
33.04,62.11,56.46,76.22,0
34.52,33.17,68.33,88.5,1
29.38,84.85,20.99,95.2,1
18.84,68.61,16.44,92.49,1
20.29,79.14,68.91,98.93,0
16.28,38.42,31.07,70.53,1
27.3,42.48,72.03,76.21,0
20.66,84.19,67.98,54.14,0
23.6,70.18,29.48,67.07,1
21.98,86.51,31.71,71.07,1
